rank,texture_tag_hex,face_count,model_count,dominant_model_family,family_model_hits,bsi_family_count,bsi_family_examples,sample_models
44,100096010000,16,5,7,2,0,,7ATDOWN.3D | 7ATUP.3D | KCAT3.3D | WAL12.3D | WAL13.3D
45,00e003000000,16,4,bsp,4,0,,BSP_CL04.3D | BSP_CL07.3D | BSP_CL14.3D | BSP_CL17.3D
46,00e0faff0000,16,4,bsp,4,0,,BSP_CL04.3D | BSP_CL07.3D | BSP_CL14.3D | BSP_CL17.3D
47,000000006901,15,15,l,3,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,7SKULL.3D | BSPCAT.3D | GAT03.3D | GAT04.3D | KCAT4.3D | L4ARCHWY.3D | L4PL01.3D | L4PL02.3D
48,3c0000000000,15,14,7,1,0,,7TREE.3D | EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D | GAUNTS.3D | L4HPL01.3D
49,000000000300,15,10,7,4,0,,7BASE.3D | 7BOLT.3D | 7STOCK.3D | 7TREE.3D | L433.3D | L443.3D | L47.3D | L48.3D
50,feffffff0000,15,8,l,4,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,7BASE.3D | 7BOLT.3D | 7TREE.3D | L47.3D | L48.3D | L4PILL1.3D | L4SEDISL.3D | T5PIL4.3D
51,0080fbff0000,15,5,l,5,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,L442.3D | L4SLAB1.3D | L4SLAB2.3D | L4SLAB3.3D | L4SLAB4.3D
52,b50000000000,15,2,eloswrd,1,0,,ELOSWRD.3D | ESPEAR.3D
53,000000005400,14,14,l,5,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,7BASE.3D | BSP_GTHS.3D | DOR08.3D | L443.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D
54,4f0000005000,14,14,l,5,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,7CLIFF.3D | BSP_GTHS.3D | BSP_TWR1.3D | L2PIL12.3D | L2PIL14.3D | L2PIL19.3D | L2PIL4.3D | L2PIL7.3D
55,550000005600,14,14,l,5,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,7CLIFF.3D | BSP_GTHS.3D | BSP_TWR1.3D | L2PIL12.3D | L2PIL14.3D | L2PIL19.3D | L2PIL4.3D | L2PIL7.3D
56,08002a010000,14,11,l,5,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,BRG02.3D | BSP_CAT1.3D | BSP_WAL3.3D | L4CONVEN.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D
57,980092060000,14,10,7,8,0,,7ATDOWN.3D | 7ATUP.3D | 7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D
58,4c000c040000,14,8,7,8,0,,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
59,7dc500000000,14,5,earrow,1,0,,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D
60,3c00e2040200,13,13,7,8,0,,7BIS1.3D | 7BIS2.3D | 7BIS3.3D | 7BOULDR.3D | 7IN.3D | 7ROCK.3D | 7SIL2.3D | 7SIL4.3D
