texture_tag_hex,face_count,model_count,sample_models
8c002c060000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
0c000b9d0200,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
980072040000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
480096020000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
70001e030000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
073e01000000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
780082050000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
2400b8020000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
0800ca010000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
00a0ffff0000,8,5,7BOULDR.3D | 7ROCK.3D | KCAT3.3D | WAL12.3D | WAL13.3D
670000006800,8,8,7CLIFF.3D | BSP_GTHS.3D | L2PIL14.3D | L2PIL7.3D | L2RP1.3D | L4CONN1.3D | L4CONN2.3D | L4CONN3.3D
00000000ff00,8,3,7FORM1.3D | A06.3D | ISLE1.3D
