file,point_count,plane_count,face_count,face_point_total,unique_texture_tags,signature
1DOOR16.3D,16,14,14,56,1,7d7d4d3960e491253d3c03faf21c3251a9f87b8f
1DOOR17.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR18.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR19.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR2.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR20.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR3.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR4.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR5.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR6.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR7.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR8.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR9.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOORPAN.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DPAN2.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DPAN3.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DPAN4.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1FLOAT.3D,19,20,20,74,1,7646aab720f70a3b11b7cc31681d47f47fb7ccb0
1FLOAT2.3D,19,20,20,74,1,7646aab720f70a3b11b7cc31681d47f47fb7ccb0
1FLOAT3.3D,19,20,20,74,1,7646aab720f70a3b11b7cc31681d47f47fb7ccb0
